particles,area,area_convex,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,ECD,orientation,perimeter,largest_dimension,smallest_dim_area,Aspect Ratio,area_ratio,intermetallic,orientation_deg
66,10.37603305785124,14.87809917355372,6.674155024582689,2.6653164308862376,1543.0,1460.0,1688.0,1532.0,1604.873755475906,1498.4769016328157,3.634718091783118,-0.15312655427971383,22.75210217810624,6.916413583607052,1.5002042507180327,2.504076044120391,0.6974031384529926,2.0,81.22649470839148
67,7.669421487603306,16.96900826446281,9.290179309738015,2.1154719386339638,1558.0,1310.0,1727.0,1404.0,1624.5727370689656,1365.9119073275863,3.1249017141756807,-0.42147762980423764,23.735443707759853,8.517483235155618,0.9004328245634853,4.391539845117028,0.45196639474004624,1.0,65.85111065303987
68,3.559917355371901,4.241735537190083,2.792869951756849,1.8712940970402117,1576.0,1578.0,1622.0,1649.0,1598.0597794544399,1603.3871154962276,2.128996841906658,1.5206256523460921,8.941671580593846,3.2025299916015517,1.11159532142012,1.4924805011538675,0.8392596200681929,2.0,2.8745679012413348
69,0.012396694214876033,0.012396694214876033,0.1818181818181818,0.07422696190252055,1580.0,12221.0,1584.0,12223.0,1581.5,12221.5,0.12563423617139471,0.3217505543966422,0.29155516192604974,0.14373989364401726,0.08624393618641034,2.449489742783178,1.0,2.0,71.56505117707799
70,0.012396694214876033,0.014462809917355372,0.19833355515623463,0.07522771783632091,1587.0,1769.0,1589.0,1773.0,1587.3333333333333,1770.1666666666667,0.12563423617139471,-1.3450697810186194,0.22727272727272727,0.14373989364401726,0.08624393618641034,2.636442535552722,0.8571428571428571,2.0,12.933178397047257
71,0.01859504132231405,0.024793388429752067,0.3476706353720261,0.07511878310575662,1594.0,1742.0,1596.0,1749.0,1594.7777777777778,1744.888888888889,0.15386988642211535,1.5459939948621693,0.3918781974345292,0.2727272727272727,0.06818181818181819,4.628278321316188,0.75,2.0,1.4210689418278264
72,0.01859504132231405,0.02066115702479339,0.18259957300682875,0.13139435622520107,1601.0,12082.0,1605.0,12085.0,1602.111111111111,12082.888888888889,0.15386988642211535,-0.20911216478961459,0.38246425283514074,0.14373989364401726,0.1293659042796155,1.3897063637487244,0.9,2.0,78.01875551271091
73,0.13016528925619836,0.18181818181818182,0.8889710955553489,0.21145663913276802,1621.0,10548.0,1640.0,10556.0,1630.0,10551.587301587302,0.4071014537346713,0.3024480249391666,1.9155516192604978,0.8381404052084442,0.15530248684744705,4.204034922720906,0.7159090909090909,2.0,72.67100464891828
74,0.05371900826446281,0.06611570247933884,0.36809878380485306,0.2061724999335235,1626.0,12022.0,1634.0,12028.0,1629.8461538461538,12024.23076923077,0.2615285178068905,0.2101800828581759,0.830826117866001,0.3309140858763872,0.16233521193935976,1.7853922512630913,0.8125,2.0,77.95756831451658
75,0.012396694214876033,0.01652892561983471,0.2809005061826977,0.053115535203284776,1643.0,1637.0,1648.0,1640.0,1645.1666666666667,1638.0,0.12563423617139471,-0.5265736087090611,0.2555145610708928,0.20327890704543544,0.06098367211363063,5.288481140359972,0.75,2.0,59.829554617997545
76,0.045454545454545456,0.05165289256198347,0.31809700323509,0.1876488304500185,1646.0,11373.0,1653.0,11378.0,1649.0454545454545,11374.90909090909,0.24057124674551034,0.09372332476730962,0.7493309715562987,0.2874797872880345,0.15811388300841894,1.6951717869609488,0.88,2.0,84.63004904889922
77,0.012396694214876033,0.014462809917355372,0.30821026212188835,0.048409097808907786,1655.0,12025.0,1659.0,12030.0,1656.1666666666667,12026.833333333334,0.12563423617139471,0.9054836673275348,0.26492850567028137,0.22727272727272727,0.05454545454545455,6.366783849980662,0.8571428571428571,2.0,38.11960744410438
78,8.266528925619834,10.483471074380166,9.414019235955625,1.3242304798290374,1656.0,1655.0,1699.0,1858.0,1680.4826293426643,1767.48687828043,3.2442674867828414,-1.4722065374764302,21.177851557543544,9.21057602670982,0.8975040107858253,7.1090488999853,0.7885297595585337,2.0,5.648778831032089
79,0.012396694214876033,0.014462809917355372,0.17407765595569782,0.0857099128710967,1656.0,12107.0,1659.0,12110.0,1657.1666666666667,12108.0,0.12563423617139471,0.9272952180016122,0.28214121732666125,0.128564869306645,0.09642365197998375,2.0310096011589893,0.8571428571428571,2.0,36.86989764584402
80,6.285123966942149,14.688016528925619,8.81829727765308,2.332813849885662,1664.0,1384.0,1832.0,1462.0,1744.2679158448389,1423.309993425378,2.8288634428465227,-0.3146149551438561,24.18057521770592,7.950388524213795,0.7905429964586137,3.780111849938344,0.4279082852721902,1.0,71.97389089855933
81,0.02066115702479339,0.024793388429752067,0.16762808104168886,0.16262312563634831,1666.0,12041.0,1670.0,12045.0,1667.4,12042.3,0.16219310146843374,-0.46364760900080687,0.4201200312326947,0.14373989364401726,0.14373989364401724,1.0307764064044154,0.8333333333333334,2.0,63.43494882292197
82,0.09710743801652892,0.10537190082644628,0.5361341624926299,0.24376356184454115,1670.0,11574.0,1682.0,11580.0,1676.4255319148936,11576.08510638298,0.3516262649043204,0.34547842258468436,1.177249769845985,0.5320318141236193,0.18252186323948982,2.1994023981096342,0.9215686274509803,2.0,70.20554447306044
83,2.0557851239669422,2.4049586776859506,2.423211147000025,1.236866801956229,1683.0,1512.0,1723.0,1562.0,1699.9768844221105,1531.3366834170854,1.6178711059021325,-1.0224215697907568,6.573189684330293,2.423200533683971,0.848375978541714,1.959152871729982,0.8548109965635738,2.0,31.419559167849286
84,0.1384297520661157,0.16115702479338842,0.8624319186693672,0.21503847222227127,1686.0,12108.0,1703.0,12117.0,1693.2985074626865,12112.268656716418,0.4198264337776536,0.364271549523803,1.7447625595841016,0.8131156281817418,0.17024608465055216,4.010593591726821,0.8589743589743591,2.0,69.12877761559534
85,59.138429752066116,174.55165289256198,30.753249056937126,7.8827153891647015,1706.0,1397.0,1944.0,2039.0,1831.7219369038885,1819.5140271809385,8.677406719399123,-1.4960036152309666,136.26600575724353,29.29509309319298,2.0187145186375104,3.9013522039891786,0.3388018891374596,1.0,4.285306710952497
86,4.911157024793388,16.56611570247934,8.552695992821176,2.7144330394567944,1733.0,1287.0,1904.0,1381.0,1844.4228018510728,1336.5477492637779,2.5006157910344466,-0.30459336292888817,24.250487000563847,7.9488291148772765,0.6178465977588464,3.1508222411456943,0.29645796956847087,1.0,72.54808583647817
87,37.86776859504132,176.6818181818182,41.89110059209269,6.055107722112368,1741.0,905.0,2526.0,1310.0,2114.26031209079,1100.7542012221738,6.94368349264905,-0.3785373343170459,123.73965622164278,39.966127186832225,0.9474965742369389,6.918308065620785,0.21432747854152534,1.0,68.3114083555006
88,0.022727272727272728,0.028925619834710745,0.2857046662625002,0.11596687743770312,1762.0,12042.0,1768.0,12045.0,1765.0,12042.818181818182,0.17010955993225252,0.22823963650185705,0.4012921420339177,0.23177361425421747,0.09805806756909202,2.463674736917698,0.7857142857142857,2.0,76.92283211084354
89,1.5557851239669422,1.6363636363636365,1.6285232983720042,1.2347870298403592,1763.0,1464.0,1795.0,1499.0,1778.4674634794158,1479.7622841965472,1.4074399251639156,-0.9895647191801736,4.82842712474619,1.6121952591789273,0.9650103578392148,1.3188697799834759,0.9507575757575758,2.0,33.30211803592754
90,0.35537190082644626,0.40702479338842973,1.4314849513304388,0.3423864200256549,1856.0,11438.0,1889.0,11446.0,1869.8081395348838,11441.994186046511,0.6726615473029017,0.10338435817323785,3.374942606433144,1.4721940673365133,0.2413893037005532,4.180904579168701,0.8730964467005076,2.0,84.07651260900464
91,0.08884297520661157,0.14049586776859505,0.5577176618730513,0.2872256264096979,1861.0,1471.0,1872.0,1480.0,1865.3255813953488,1474.5813953488373,0.33633077365145087,-0.6369423842479316,1.423350386317489,0.5300865358950273,0.16760089002563364,1.9417406059636344,0.6323529411764706,2.0,53.50588958959355
